,month,birth_yoy,state,Year
0,3,-0.5551856335754640,california,2019
1,4,-0.5418043998632170,california,2019
2,5,-0.5532030111380020,california,2019
3,6,-0.5330273300630690,california,2019
4,7,-0.5387987529426740,california,2019
5,8,-0.5570551766893990,california,2019
6,9,-0.5685403258051620,california,2019
7,10,-0.5587861778189810,california,2019
8,11,-0.5639831095112830,california,2019
9,12,-0.5746615298441190,california,2019
10,1,-0.21556377664857700,california,2020
11,2,-0.2708470124753780,california,2020
0,3,-0.01240208877284600,iowa,2020
1,4,-0.08643958868894600,iowa,2020
2,5,-0.004036013660353930,iowa,2020
3,6,-0.03419622882710130,iowa,2020
4,7,-0.0743223549985427,iowa,2020
5,8,-0.07538280329799760,iowa,2020
6,9,-0.04322139303482590,iowa,2020
7,10,-0.06435488909715710,iowa,2020
8,11,-0.05880330123796420,iowa,2020
9,12,-0.037124535943300700,iowa,2020
10,1,-0.07861120209629870,iowa,2021
11,2,-0.0381490639350053,iowa,2021
0,3,-0.04585776574951140,arizona,2019
1,4,-0.01990786442908850,arizona,2019
2,5,-0.037498005425243300,arizona,2019
3,6,-0.013812154696132600,arizona,2019
4,7,-0.0255043227665706,arizona,2019
5,8,-0.06979977753058950,arizona,2019
6,9,-0.01881014873140860,arizona,2019
7,10,-0.03521536670547150,arizona,2019
8,11,-0.05960164208605750,arizona,2019
9,12,-0.04543423208699540,arizona,2019
10,1,-0.07966457023060800,arizona,2020
11,2,-0.1102576412225960,arizona,2020
0,3,-0.055826936496859700,oregon,2020
1,4,-0.0007178750897343860,oregon,2020
2,5,0.027126099706744900,oregon,2020
3,6,-0.05306685044796690,oregon,2020
4,7,0.002014775016789790,oregon,2020
5,8,-0.05281207133058990,oregon,2020
6,9,-0.04468085106382980,oregon,2020
7,10,-0.05493689680772090,oregon,2020
8,11,-0.08778625954198470,oregon,2020
9,12,0.0,oregon,2020
0,3,-0.017001369237791000,florida,2021
1,4,-0.04776667814904120,florida,2021
2,5,-0.04697532950321060,florida,2019
3,6,-0.003881439661256180,florida,2019
4,7,-0.04585735639547300,florida,2019
5,8,-0.09454127753083950,florida,2019
6,9,-0.0604667974801198,florida,2019
7,10,-0.07750356924332040,florida,2019
8,11,-0.05384106690179650,florida,2019
9,12,-0.06790707452959110,florida,2019
10,1,-0.0930321802532756,florida,2019
11,2,-0.038023040649435900,florida,2019
0,3,0.0022172949002217300,hawaii,2020
1,4,-0.02468212415856400,hawaii,2020
2,5,-0.0779848171152519,hawaii,2020
3,6,-0.10239162929745900,hawaii,2020
4,7,-0.08494475138121550,hawaii,2020
5,8,-0.10405405405405400,hawaii,2020
6,9,-0.07692307692307690,hawaii,2020
7,10,-0.02328863796753710,hawaii,2020
8,11,-0.07896575821104120,hawaii,2020
9,12,-0.10477548111190300,hawaii,2020
10,1,-0.11851851851851900,hawaii,2020
11,2,-0.15170278637770900,hawaii,2020